,Scientific Name,Common Name,Species Code,Population Code,Lead Region,Federal Listing Status,Where Listed
0,Abies guatemalensis,Guatemalan Fir (=pinabete),R003,P01,Foreign,Threatened,Wherever found
1,Abronia macrocarpa,Large-fruited sand-verbena,Q24E,P01,2,Endangered,Wherever found
2,Abutilon eremitopetalum,No common name,Q1SJ,P01,1,Endangered,Wherever found
3,Abutilon menziesii,Ko`oloa`ula,Q1SK,P01,1,Endangered,Wherever found
4,Abutilon sandwicense,No common name,Q1SL,P01,1,Endangered,Wherever found
5,Acaena exigua,Liliwai,Q1SM,P01,1,Endangered,Wherever found
6,Acanthomintha ilicifolia,San Diego thornmint,Q00E,P01,8,Threatened,Wherever found
7,Acanthomintha obovata ssp. duttonii,San Mateo thornmint,Q24H,P01,8,Endangered,Wherever found
8,Acanthorutilus handlirschi,Cicek (minnow),E00N,V01,Foreign,Endangered,Wherever found
9,Accipiter fasciatus natalis,Christmas Island goshawk,B01N,V01,Foreign,Endangered,Wherever found
10,Accipiter francesii pusillus,Anjouan Island sparrowhawk,B03A,V01,Foreign,Endangered,Wherever found
11,Accipiter gentilis laingi,Queen Charlotte goshawk,B0AE,V02,Foreign,Threatened,"British Columbia, Canada"
12,Accipiter striatus venator,Puerto Rican sharp-shinned hawk,B06Z,V01,4,Endangered,Wherever found
13,Achatinella spp.,Oahu tree snails,G01J,I01,1,Endangered,Wherever found
14,Achyranthes mutica,No common name,Q00G,P01,1,Endangered,Wherever found
15,Achyranthes splendens var. rotundata,Round-leaved chaff-flower,Q24I,P01,1,Endangered,Wherever found
16,Acinonyx jubatus,Cheetah,A00S,V01,Foreign,Endangered,Wherever found
17,Acipenser brevirostrum,Shortnose sturgeon,E00B,V01,NMFS,Endangered,Wherever found
18,Acipenser medirostris,green sturgeon,E09K,V01,NMFS,Threatened,Southern DPS - See 50 CFR 223.102
19,Acipenser mikadoi,Sakhalin sturgeon,E0D5,V01,NMFS,Endangered,Wherever found
20,Acipenser naccarii,Adriatic sturgeon,E0CH,V01,NMFS,Endangered,Wherever found
21,Acipenser oxyrinchus (=oxyrhynchus) desotoi,Atlantic sturgeon (Gulf subspecies),E04W,V01,4,Threatened,Wherever found
22,Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,E0A7,V02,NMFS,Threatened,Gulf of Maine DPS - See 50 CFR 223.102
23,Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,E0A7,V03,NMFS,Endangered,New York Bight DPS - See 50 CFR 224.101
24,Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,E0A7,V04,NMFS,Endangered,Chesapeake Bay DPS - See 50 CFR 224.101
25,Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,E0A7,V05,NMFS,Endangered,Carolina DPS - See 50 CFR 224.101
26,Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,E0A7,V06,NMFS,Endangered,South Atlantic DPS - See 50 CFR 224.101
27,Acipenser sinensis,Chinese sturgeon,E0CI,V01,NMFS,Endangered,Wherever found
28,Acipenser sturio,European sturgeon,E0CJ,V01,NMFS,Endangered,Wherever found
29,Acipenser transmontanus,White sturgeon,E087,V01,1,Endangered,"U.S.A. (ID, MT), Canada (B.C.), (Kootenai R. system)"
30,Acmispon dendroideus var. traskiae (=Lotus d. ssp. traskiae),San Clemente Island lotus (=broom),Q1YO,P01,8,Threatened,Wherever found
31,Aconitum noveboracense,Northern wild monkshood,Q1SN,P01,3,Threatened,Wherever found
32,Acrocephalus familiaris kingi,Nihoa millerbird (old world warbler),B00G,V01,1,Endangered,Wherever found
33,Acrocephalus luscinia,Nightingale reed warbler (old world warbler),B043,V01,1,Endangered,Wherever found
34,Acrocephalus percernis aquilonis,Eiao Marquesas reed-Warbler,B0D7,V01,Foreign,Endangered,Wherever found
35,Acropora cervicornis,Staghorn coral,P000,I01,NMFS,Threatened,Wherever found
36,Acropora globiceps,No common name,P00O,I01,NMFS,Threatened,Wherever found
37,Acropora jacquelinae,No common name,P00B,I01,NMFS,Threatened,Wherever found
38,Acropora lokani,No common name,P00C,I01,NMFS,Threatened,Wherever found
39,Acropora palmata,Elkhorn coral,P001,I01,NMFS,Threatened,Wherever found
40,Acropora pharaonis,No common name,P00U,I01,NMFS,Threatened,Wherever found
41,Acropora retusa,No common name,P00W,I01,NMFS,Threatened,Wherever found
42,Acropora rudis,No common name,P00D,I01,NMFS,Threatened,Wherever found
43,Acropora speciosa,No common name,P00X,I01,NMFS,Threatened,Wherever found
44,Acropora tenella,No common name,P00Z,I01,NMFS,Threatened,Wherever found
45,Addax nasomaculatus,Addax,A0G3,V01,Foreign,Endangered,Wherever found
46,Adelocosa anops,Kauai cave wolf or pe'e pe'e maka 'ole spider,J000,I01,1,Endangered,Wherever found
47,Adenophorus periens,Pendant kihi fern,S00M,P01,1,Endangered,Wherever found
48,Adiantum vivesii,No common name,S01O,P01,4,Endangered,Wherever found
49,Aepyceros melampus petersi,Black-faced impala,A01E,V01,Foreign,Endangered,Wherever found
50,Aerodramus vanikorensis bartschi,Mariana gray swiftlet,B091,V01,1,Endangered,Wherever found
51,Aeschynomene virginica,Sensitive joint-vetch,Q24J,P01,5,Threatened,Wherever found
52,Agalinis acuta,Sandplain gerardia,Q24K,P01,5,Endangered,Wherever found
53,Agave eggersiana,No common name,Q00O,P01,4,Endangered,Wherever found
54,Agelaius xanthomus,Yellow-shouldered blackbird,B05T,V01,4,Endangered,Wherever found
55,Agelastes meleagrides,White-breasted guineafowl,B09S,V01,Foreign,Threatened,Wherever found
56,Ailuropoda melanoleuca,Giant panda,A0A5,V01,Foreign,Endangered,Wherever found
57,Aipysurus fuscus,Dusky sea snake,C081,V01,NMFS,Endangered,Entire
58,Akialoa stejnegeri,Kauai akialoa (honeycreeper),B000,V01,1,Endangered,Wherever found
59,Alasmidonta atropurpurea,Cumberland elktoe,F01K,I01,4,Endangered,Wherever found
60,Alasmidonta heterodon,Dwarf wedgemussel,F029,I01,5,Endangered,Wherever found
61,Alasmidonta raveneliana,Appalachian elktoe,F01J,I01,4,Endangered,Wherever found
62,Alauda razae,Raso lark,B09T,V01,Foreign,Endangered,Wherever found
63,Alcelaphus buselaphus swaynei,Swayne's hartebeest,A018,V01,Foreign,Endangered,Wherever found
64,Alcelaphus buselaphus tora,Tora hartebeest,A07P,V01,Foreign,Endangered,Wherever found
65,Alectryon macrococcus,Mahoe,Q1SO,P01,1,Endangered,Wherever found
66,Alethe choloensis,Thyolo alethe,B09K,V01,Foreign,Endangered,Wherever found
67,Alligator mississippiensis,American alligator,C000,V01,4,Similarity of Appearance to a Threatened Taxon,Wherever found
68,Alligator sinensis,Chinese alligator,C00W,V01,Foreign,Endangered,Wherever found
69,Allium munzii,Munz's onion,Q2X0,P01,8,Endangered,Wherever found
70,Alopecurus aequalis var. sonomensis,Sonoma alopecurus,Q01F,P01,8,Endangered,Wherever found
71,Alouatta palliata,Mantled howler monkey,A05T,V01,Foreign,Endangered,Wherever found
72,Alouatta pigra,Black howler monkey,A06S,V01,Foreign,Threatened,Wherever found
73,Amaranthus brownii,No common name,Q01G,P01,1,Endangered,Wherever found
74,Amaranthus pumilus,Seabeach amaranth,Q2MZ,P01,4,Threatened,Wherever found
75,Amazilia luciae,Honduran emerald hummingbird,B0GG,V01,Foreign,Endangered,Wherever found
76,Amazona arausiaca,Red-necked parrot,B05V,V01,Foreign,Endangered,Wherever found
77,Amazona brasiliensis,Red-tailed parrot,B06H,V01,Foreign,Endangered,Wherever found
78,Amazona collaria,Yellow-billed parrot,B0GR,V01,Foreign,Threatened,Wherever found
79,Amazona guildingii,St Vincent parrot,B02K,V01,Foreign,Endangered,Wherever found
80,Amazona imperialis,Imperial parrot,B02G,V01,Foreign,Endangered,Wherever found
81,Amazona leucocephala,Bahaman or Cuban parrot,B05C,V01,Foreign,Endangered,Wherever found
82,Amazona pretrei pretrei,Red-spectacled parrot,B05E,V01,Foreign,Endangered,Wherever found
83,Amazona rhodocorytha,Red-browed parrot,B02I,V01,Foreign,Endangered,Wherever found
84,Amazona versicolor,St. Lucia parrot,B02J,V01,Foreign,Endangered,Wherever found
85,Amazona vinacea,Vinaceous-breasted parrot,B05F,V01,Foreign,Endangered,Wherever found
86,Amazona vittata,Puerto Rican parrot,B00L,V01,4,Endangered,Wherever found
87,Amblema neislerii,Fat threeridge (mussel),F032,I01,4,Endangered,Wherever found
88,Amblyopsis rosae,Ozark cavefish,E02J,V01,4,Threatened,Wherever found
89,Ambrosia cheiranthifolia,South Texas ambrosia,Q1SS,P01,2,Endangered,Wherever found
90,Ambrosia pumila,San Diego ambrosia,Q01H,P01,8,Endangered,Wherever found
91,Ambrysus amargosus,Ash Meadows naucorid,I023,I01,8,Threatened,Wherever found
92,Ambystoma bishopi,Reticulated flatwoods salamander,D042,V01,4,Endangered,Wherever found
93,Ambystoma californiense,California tiger Salamander,D01T,V01,8,Endangered,U.S.A. (CA - Santa Barbara County)
94,Ambystoma californiense,California tiger Salamander,D01T,V02,8,Endangered,U.S.A. (CA - Sonoma County)
95,Ambystoma californiense,California tiger Salamander,D01T,V03,8,Threatened,U.S.A. (CA - Central California)
96,Ambystoma cingulatum,Frosted Flatwoods salamander,D013,V01,4,Threatened,Wherever found
97,Ambystoma macrodactylum croceum,Santa Cruz long-toed salamander,D000,V01,8,Endangered,Wherever found
98,Ambystoma tigrinum stebbinsi,Sonora tiger Salamander,D01H,V01,2,Endangered,Wherever found
99,Ameiva polops,St. Croix ground lizard,C01P,V01,4,Endangered,Wherever found
100,Ammodorcas clarkei,Clark's gazelle,A011,V01,Foreign,Endangered,Wherever found
101,Ammodramus maritimus mirabilis,Cape Sable seaside sparrow,B00Q,V01,4,Endangered,Wherever found
102,Ammodramus savannarum floridanus,Florida grasshopper sparrow,B07G,V01,4,Endangered,Wherever found
103,Amorpha crenulata,Crenulate lead-plant,Q2RI,P01,4,Endangered,Wherever found
104,Amphianthus pusillus,Little amphianthus,Q1ST,P01,4,Threatened,Wherever found
105,Amphispiza belli clementeae,San Clemente sage sparrow,B05S,V01,8,Threatened,Wherever found
106,Amsinckia grandiflora,Large-flowered fiddleneck,Q1SU,P01,8,Endangered,Wherever found
107,Amsonia kearneyana,Kearney's blue-star,Q24Z,P01,2,Endangered,Wherever found
108,Amytornis goyderi,Eyrean grasswren (flycatcher),B01P,V01,Foreign,Endangered,Wherever found
109,Anacropora spinosa,No common name,P00E,I01,NMFS,Threatened,Wherever found
110,Anaea troglodyta floridalis,Florida leafwing Butterfly,I087,I01,4,Endangered,Wherever found
111,Anairetes alpinus,Ash-breasted tit-tyrant,B0BF,V01,Foreign,Endangered,Wherever found
112,Anas aucklandica nesiotis,Campbell Island flightless teal,B05O,V01,Foreign,Endangered,Wherever found
113,Anas laysanensis,Laysan duck,B006,V01,1,Endangered,Wherever found
114,Anas wyvilliana,Hawaiian (=koloa) Duck,B005,V01,1,Endangered,Wherever found
115,Anaxyrus californicus,Arroyo (=arroyo southwestern) toad,D020,V01,8,Endangered,Wherever found
116,Anaxyrus canorus,Yosemite toad,D02K,V01,8,Threatened,Wherever found
117,Andrias davidianus (=davidianus d.),Chinese giant salamander,D007,V01,Foreign,Endangered,Wherever found
118,Andrias japonicus (=davidianus j.),Japanese giant salamander,D008,V01,Foreign,Endangered,Wherever found
119,Anguispira picta,Painted snake coiled forest snail,G00W,I01,4,Threatened,Wherever found
120,Anodorhynchus glaucus,Glaucous macaw,B056,V01,Foreign,Endangered,Wherever found
121,Anodorhynchus hyacinthinus,Hyacinth macaw,B0GL,V01,Foreign,Threatened,Wherever found
122,Anodorhynchus leari,Indigo macaw,B057,V01,Foreign,Endangered,Wherever found
123,Anolis roosevelti,Culebra Island giant anole,C01O,V01,4,Endangered,Wherever found
124,Anoxypristis cuspidata,Narrow sawfish,E0D1,V01,NMFS,Endangered,Wherever found
125,Antechinomys laniger,Eastern jerboa marsupial,A034,V01,Foreign,Endangered,Wherever found
126,Antechinus apicalis,Dibbler,A032,V01,Foreign,Endangered,Wherever found
127,Antilocapra americana peninsularis,Peninsular pronghorn,A04M,V01,Foreign,Endangered,Mexico (Baja California)
128,Antilocapra americana sonoriensis,Sonoran pronghorn,A009,V01,2,Endangered,"Wherever found, except where listed as an experimental population"
129,Antrobia culveri,Tumbling Creek cavesnail,G04I,I01,3,Endangered,Wherever found
130,Antrolana lira,Madison Cave isopod,K008,I01,5,Threatened,Wherever found
131,Aonyx congicus (=congica) microdon,Cameroon clawless otter,A02W,V01,Foreign,Endangered,Wherever found
132,Aphelocoma coerulescens,Florida scrub-jay,B082,V01,4,Threatened,Wherever found
133,Apios priceana,Price's potato-bean,Q1SW,P01,4,Threatened,Entire
134,Aplodontia rufa nigra,Point Arena mountain beaver,A0BJ,V01,8,Endangered,Wherever found
135,Aplonis pelzelni,Ponape mountain starling,B00X,V01,Foreign,Endangered,Wherever found
136,Apodemia mormo langei,Lange's metalmark butterfly,I00H,I01,8,Endangered,Wherever found
137,Aproteles bulmerae,Bulmer's fruit bat (=flying fox),A09W,V01,Foreign,Endangered,Wherever found
138,Aquila heliaca adalberti,Spanish imperial eagle,B01F,V01,Foreign,Endangered,Wherever found
139,Ara ambiguus,Great green macaw,B0GJ,V01,Foreign,Endangered,Wherever found
140,Arabis georgiana,Georgia rockcress,Q02R,P01,4,Threatened,Wherever found
141,Arabis hoffmannii,Hoffmann's rock-cress,Q02U,P01,8,Endangered,Wherever found
142,Arabis macdonaldiana,McDonald's rock-cress,Q1SX,P01,8,Endangered,Wherever found
143,Arabis perstellata,Braun's rock-cress,Q1SY,P01,4,Endangered,Wherever found
144,Arabis serotina,Shale barren rock cress,Q2XA,P01,5,Endangered,Wherever found
145,Ara glaucogularis,Blue-throated macaw,B0BR,V01,Foreign,Endangered,Wherever found
146,Ara macao ssp. cyanopterus,Scarlet macaw,B0GP,V01,Foreign,Endangered,Wherever found
147,Ara macao ssp. macao,Scarlet macaw,B0OD,V02,Foreign,Threatened,Northern DPS
148,Ara macao ssp. macao,Scarlet macaw,B0OD,V03,Foreign,Similarity of Appearance to a Threatened Taxon,Southern DPS
149,Ara militaris,Military macaw,B0GM,V01,Foreign,Endangered,Wherever found
150,Aratinga guarouba,Golden conure,B05B,V01,Foreign,Endangered,Wherever found
151,Arcanator orostruthus,Dappled mountain robin,B0A3,V01,Foreign,Threatened,Wherever found
152,Arctocephalus townsendi,Guadalupe fur seal,A0A8,V01,NMFS,Threatened,Wherever found
153,Arctomecon humilis,Dwarf Bear-poppy,Q1SZ,P01,6,Endangered,Wherever found
154,Arctostaphylos confertiflora,Santa Rosa Island manzanita,Q037,P01,8,Endangered,Wherever found
155,Arctostaphylos franciscana,Franciscan manzanita,Q25C,P01,8,Endangered,Wherever found
156,Arctostaphylos glandulosa ssp. crassifolia,Del Mar manzanita,Q036,P01,8,Endangered,Wherever found
157,Arctostaphylos hookeri var. ravenii,Presidio Manzanita,Q1T0,P01,8,Endangered,Wherever found
158,Arctostaphylos morroensis,Morro manzanita,Q259,P01,8,Threatened,Wherever found
159,Arctostaphylos myrtifolia,Ione manzanita,Q03G,P01,8,Threatened,Wherever found
160,Arctostaphylos pallida,Pallid manzanita,Q03I,P01,8,Threatened,Wherever found
161,Ardeotis (=Choriotis) nigriceps,Great Indian bustard,B014,V01,Foreign,Endangered,Wherever found
162,Arenaria cumberlandensis,Cumberland sandwort,Q25F,P01,4,Endangered,Wherever found
163,Arenaria paludicola,Marsh Sandwort,Q25H,P01,8,Endangered,Wherever found
164,Arenaria ursina,Bear Valley sandwort,Q03Z,P01,8,Threatened,Wherever found
165,Argemone pleiacantha ssp. pinnatisecta,Sacramento prickly poppy,Q1T1,P01,2,Endangered,Wherever found
166,Argyroxiphium kauense,Mauna Loa (=Ka'u) silversword,Q1T2,P01,1,Endangered,Wherever found
167,Argyroxiphium sandwicense ssp. macrocephalum,`Ahinahina,Q1T3,P01,1,Threatened,Wherever found
168,Argyroxiphium sandwicense ssp. sandwicense,`Ahinahina,Q25I,P01,1,Endangered,Wherever found
169,Argythamnia blodgettii,Blodgett's silverbush,Q045,P01,4,Threatened,Wherever found
170,Aristida chaseae,No common name,Q2YY,P01,4,Endangered,Wherever found
171,Aristida portoricensis,Pelos del diablo,Q25J,P01,4,Endangered,Wherever found
172,Arkansia wheeleri,Ouachita rock pocketbook,F00U,I01,2,Endangered,Wherever found
173,Asclepias meadii,Mead's milkweed,Q1T6,P01,3,Threatened,Wherever found
174,Asclepias welshii,Welsh's milkweed,Q25M,P01,6,Threatened,Wherever found
175,Asimina tetramera,Four-petal pawpaw,Q1T7,P01,4,Endangered,Wherever found
176,Asplenium dielerectum,Asplenium-leaved diellia,S00P,P01,1,Endangered,Wherever found
177,Asplenium dielfalcatum,No common name,S00Q,P01,1,Endangered,Wherever found
178,Asplenium diellaciniatum,No common name,S02K,P01,1,Endangered,Wherever found
179,Asplenium dielmannii,No common name,S007,P01,1,Endangered,Wherever found
180,Asplenium dielpallidum,No common name,S022,P01,1,Endangered,Wherever found
181,Asplenium peruvianum var. insulare,No common name,S00N,P01,1,Endangered,Wherever found
182,Asplenium scolopendrium var. americanum,American hart's-tongue fern,S00O,P01,5,Threatened,Wherever found
183,Asplenium unisorum,No common name,S01T,P01,1,Endangered,Wherever found
184,Assiminea pecos,Pecos assiminea snail,G03K,I01,2,Endangered,Wherever found
185,Astelia waialealae,Pa`iniu,Q3GT,P01,1,Endangered,Wherever found
186,Astragalus albens,Cushenbury milk-vetch,Q2Z7,P01,8,Endangered,Wherever found
187,Astragalus ampullarioides,Shivwits milk-vetch,Q2ZA,P01,6,Endangered,Wherever found
188,Astragalus applegatei,Applegate's milk-vetch,Q25T,P01,8,Endangered,Wherever found
189,Astragalus bibullatus,Guthrie's (=Pyne's) ground-plum,Q2Z8,P01,4,Endangered,Wherever found
190,Astragalus brauntonii,Braunton's milk-vetch,Q05E,P01,8,Endangered,Wherever found
191,Astragalus clarianus,Clara Hunt's milk-vetch,Q05J,P01,8,Endangered,Wherever found
192,Astragalus cremnophylax var. cremnophylax,Sentry milk-vetch,Q1T8,P01,2,Endangered,Wherever found
193,Astragalus holmgreniorum,Holmgren milk-vetch,Q2NC,P01,6,Endangered,Wherever found
194,Astragalus humillimus,Mancos milk-vetch,Q1T9,P01,2,Endangered,Wherever found
195,Astragalus jaegerianus,Lane Mountain milk-vetch,Q064,P01,8,Endangered,Wherever found
196,Astragalus lentiginosus var. coachellae,Coachella Valley milk-vetch,Q25Y,P01,8,Endangered,Wherever found
197,Astragalus lentiginosus var. piscinensis,Fish Slough milk-vetch,Q25Z,P01,8,Threatened,Wherever found
198,Astragalus magdalenae var. peirsonii,Peirson's milk-vetch,Q2ND,P01,8,Threatened,Wherever found
199,Astragalus montii,Heliotrope milk-vetch,Q260,P01,6,Threatened,Wherever found
200,Astragalus osterhoutii,Osterhout milkvetch,Q1TA,P01,6,Endangered,Wherever found
201,Astragalus phoenix,Ash meadows milk-vetch,Q1TB,P01,8,Threatened,Wherever found
202,Astragalus pycnostachyus var. lanosissimus,Ventura Marsh Milk-vetch,Q076,P01,8,Endangered,Wherever found
203,Astragalus robbinsii var. jesupi,Jesup's milk-vetch,Q1TC,P01,5,Endangered,Wherever found
204,Astragalus tener var. titi,Coastal dunes milk-vetch,Q07J,P01,8,Endangered,Wherever found
205,Astragalus tricarinatus,Triple-ribbed milk-vetch,Q2ZO,P01,8,Endangered,Wherever found
206,Astrophytum asterias,Star cactus,Q07V,P01,2,Endangered,Wherever found
207,Ateles geoffroyi frontatus,Spider monkey,A01T,V01,Foreign,Endangered,Wherever found
208,Ateles geoffroyl panamensis,Spider monkey,A01U,V01,Foreign,Endangered,Wherever found
209,Atelopus varius zeteki,Panamanian golden frog,D006,V01,Foreign,Endangered,Wherever found
210,Athearnia anthonyi,Anthony's riversnail,G016,I01,4,Endangered,Wherever found; Except where listed as Experimental Populations
211,Atrichornis clamosus,Noisy scrub-bird,B038,V01,Foreign,Endangered,Wherever found
212,Atriplex coronata var. notatior,San Jacinto Valley crownscale,Q2ZR,P01,8,Endangered,Wherever found
213,Auerodendron pauciflorum,No common name,Q2ZU,P01,4,Endangered,Wherever found
214,Avahi laniger (entire genus),Avahi,A00O,V01,Foreign,Endangered,Wherever found
215,Axis porcinus annamiticus,Indochina hog deer,A055,V01,Foreign,Endangered,Wherever found
216,Axis porcinus calamianensis,Calamianes (=Philippine) deer,A058,V01,Foreign,Endangered,Wherever found
217,Axis porcinus kuhli,Kuhl's (=Bawean) deer,A00T,V01,Foreign,Endangered,Wherever found
218,Ayenia limitaris,Texas ayenia,Q2XW,P01,2,Endangered,Wherever found
219,Aythya innotata,Madagascar pochard,B0A2,V01,Foreign,Endangered,Wherever found
220,Babyrousa babyrussa,Babirusa,A04N,V01,Foreign,Endangered,Wherever found
221,Baccharis vanessae,Encinitas baccharis,Q264,P01,8,Threatened,Wherever found
222,Balaena mysticetus,Bowhead whale,A02N,V01,NMFS,Endangered,Wherever found
223,Balaenoptera borealis,Sei whale,A02S,V01,NMFS,Endangered,Wherever found
224,Balaenoptera musculus,Blue whale,A02M,V01,NMFS,Endangered,Wherever found
225,Balaenoptera physalus,Finback whale,A02O,V01,NMFS,Endangered,Wherever found
226,Banara vanderbiltii,Palo de ramon,Q266,P01,4,Endangered,Wherever found
227,Baptisia arachnifera,Hairy rattleweed,Q1TD,P01,4,Endangered,Wherever found
228,Batagur baska,River terrapin,C00H,V01,Foreign,Endangered,Wherever found
229,Batrachoseps aridus,Desert slender salamander,D005,V01,8,Endangered,Wherever found
230,Batrisodes texanus,Coffin Cave mold beetle,I0I9,I01,2,Endangered,Wherever found
231,Batrisodes venyivi,Helotes mold beetle,I0PT,I01,2,Endangered,Wherever found
232,Bebrornis rodericanus,Rodrigues warbler (old world warbler),B03J,V01,Foreign,Endangered,Wherever found
233,Bebrornis sechellensis,Seychelles warbler (old world warbler),B03L,V01,Foreign,Endangered,Wherever found
234,Berberis nevinii,Nevin's barberry,Q08G,P01,8,Endangered,Wherever found
235,Berberis pinnata ssp. insularis,Island Barberry,Q08H,P01,8,Endangered,Wherever found
236,Bettongia gaimardi,Gaimard's rat-kangaroo,A04D,V01,Foreign,Endangered,Wherever found
237,Bettongia lesueur,Lesueur's rat-kangaroo,A03J,V01,Foreign,Endangered,Wherever found
238,Bettongia penicillata,Brush-tailed rat-kangaroo,A03I,V01,Foreign,Endangered,Wherever found
239,Bettongia tropica,Queensland rat-kangaroo,A03L,V01,Foreign,Endangered,Wherever found
240,Betula uber,Virginia round-leaf birch,Q1TG,P01,5,Threatened,Wherever found
241,Bidens amplectens,Ko`oko`olau,Q3HE,P01,1,Endangered,Wherever found
242,Bidens campylotheca ssp. pentamera,Ko`oko`olau,Q2S3,P01,1,Endangered,Wherever found
243,Bidens campylotheca ssp. waihoiensis,Ko`oko`olau,Q269,P01,1,Endangered,Wherever found
244,Bidens conjuncta,Ko`oko`olau,Q08M,P01,1,Endangered,Wherever found
245,Bidens hillebrandiana ssp. hillebrandiana,kookoolau,Q3OA,P01,1,Endangered,Wherever found
246,Bidens micrantha ssp. ctenophylla,Ko`oko`olau,Q2XY,P01,1,Endangered,Wherever found
247,Bidens micrantha ssp. kalealaha,Ko`oko`olau,Q1TK,P01,1,Endangered,Wherever found
248,Bidens wiebkei,Ko`oko`olau,Q1TN,P01,1,Endangered,Wherever found
249,Bison bison athabascae,Wood Bison,A00R,V01,7,Threatened,Wherever found
250,Blastocerus dichotomus,Marsh deer,A00V,V01,Foreign,Endangered,Wherever found
251,Blennosperma bakeri,Sonoma sunshine,Q1TO,P01,8,Endangered,Wherever found
252,Boloria acrocnema,Uncompahgre fritillary butterfly,I01Q,I01,6,Endangered,Wherever found
253,Boltonia decurrens,Decurrent false aster,Q26A,P01,3,Threatened,Wherever found
254,Bolyeria multocarinata,Round Island bolyeria boa,C02N,V01,Foreign,Endangered,Wherever found
255,Bombus affinis,Rusty patched bumble bee,I0WI,I01,3,Endangered,Wherever found
256,Bonamia grandiflora,Florida bonamia,Q26B,P01,4,Threatened,Wherever found
257,Bonamia menziesii,No common name,Q1TQ,P01,1,Endangered,Wherever found
258,Bos gaurus,Seledang,A029,V01,Foreign,Endangered,Wherever found
259,Bos javanicus,Banteng,A00Q,V01,Foreign,Endangered,Wherever found
260,Bos mutus (=grunniens m.),Wild yak,A02U,V01,Foreign,Endangered,Wherever found
261,Bos sauveli,Kouprey,A01G,V01,Foreign,Endangered,Wherever found
262,Brachylagus idahoensis,Columbia Basin Pygmy Rabbit,A0GG,V01,1,Endangered,"U.S.A. (WA-Douglas, Grant, Lincoln, Adams, Benton Counties)"
263,Brachylophus fasciatus,Fiji banded iguana,C02P,V01,Foreign,Endangered,Wherever found
264,Brachylophus vitiensis,Fiji crested iguana,C02Q,V01,Foreign,Endangered,Wherever found
265,Brachyramphus marmoratus,Marbled murrelet,B08C,V01,1,Threatened,"U.S.A. (CA, OR, WA)"
266,Brachyteles arachnoides,Woolly spider monkey,A01W,V01,Foreign,Endangered,Wherever found
267,Bradypus torquatus,Brazilian three-toed sloth,A02C,V01,Foreign,Endangered,Wherever found
268,Branchinecta conservatio,Conservancy fairy shrimp,K03D,I01,8,Endangered,Wherever found
269,Branchinecta longiantenna,Longhorn fairy shrimp,K03E,I01,8,Endangered,Wherever found
270,Branchinecta lynchi,Vernal pool fairy shrimp,K03G,I01,8,Threatened,Wherever found
271,Branchinecta sandiegonensis,San Diego fairy shrimp,K049,I01,8,Endangered,Wherever found
272,Branta (=Nesochen) sandvicensis,Hawaiian goose,B00C,V01,1,Endangered,Wherever found
273,Brickellia mosieri,Florida brickell-bush,Q09E,P01,4,Endangered,Wherever found
274,Brighamia insignis,Olulu,Q1TR,P01,1,Endangered,Wherever found
275,Brighamia rockii,Pua `ala,Q1TS,P01,1,Endangered,Wherever found
276,Brodiaea filifolia,Thread-leaved brodiaea,Q09H,P01,8,Threatened,Wherever found
277,Brodiaea pallida,Chinese Camp brodiaea,Q09J,P01,8,Threatened,Wherever found
278,Brychius hungerfordi,Hungerford's crawling water Beetle,I02B,I01,3,Endangered,Wherever found
279,Bubalus depressicornis,Lowland anoa,A00G,V01,Foreign,Endangered,Wherever found
280,Bubalus mindorensis,Tamaraw,A03O,V01,Foreign,Endangered,Wherever found
281,Bubalus quarlesi,Mountain anoa,A00H,V01,Foreign,Endangered,Wherever found
282,Buceros (=Rhinoplax) vigil,Helmeted hornbill,B055,V01,Foreign,Endangered,Wherever found
283,Bufo hemiophrys baxteri,Wyoming Toad,D01R,V01,6,Endangered,Wherever found
284,Bufo houstonensis,Houston toad,D004,V01,2,Endangered,Wherever found
285,Bufo periglenes,Monte Verde golden toad,D00A,V01,Foreign,Endangered,Wherever found
286,Bufo superciliaris,Cameroon toad,D009,V01,Foreign,Endangered,Wherever found
287,Bulbophyllum guamense,Cebello halumtano,Q3OU,P01,1,Threatened,Wherever found
288,Burramys parvus,Mountain pygmy possum,A03F,V01,Foreign,Endangered,Wherever found
289,Buteo galapagoensis,Galapagos hawk,B01T,V01,Foreign,Endangered,Wherever found
290,Buteo platypterus brunnescens,Puerto Rican broad-winged hawk,B06Y,V01,4,Endangered,Wherever found
291,Buteo solitarius,Hawaiian (='lo) Hawk,B00D,V01,1,Endangered,Wherever found
292,Buxus vahlii,Vahl's boxwood,Q26G,P01,4,Endangered,Wherever found
293,Cacajao spp.,Uakari (all species),A02K,V01,Foreign,Endangered,Wherever found
294,Cacatua alba,White cockatoo,B0GQ,V01,Foreign,Threatened,Wherever found
295,Cacatua haematuropygia,Philippine cockatoo,B0GN,V01,Foreign,Endangered,Wherever found
296,Cacatua moluccensis,Salmon-crested cockatoo,B0BS,V01,Foreign,Threatened,Wherever found
